trial,algorithm,size,bend,colour,distance,length,width,run,coverage,MSE,replacements,less_than_20s,variation
15,I,I1000,100,10A10B,10,100,1000,5,4802,2.3639236111111113,502,16,100L1000W
15,I,I1000,100,10A10B,10,100,1000,6,6611,2.6755787037037035,536,19,100L1000W
15,I,I1000,100,10A10B,10,100,1000,7,8064,3.7879340277777778,549,16,100L1000W
15,I,I1000,100,10A10B,10,100,1000,8,8621,4.138755787037037,528,14,100L1000W
15,I,I1000,100,10A10B,10,100,1000,9,7035,2.9112442129629628,551,12,100L1000W
15,I,I1000,100,10A10B,10,100,1000,0,6548,3.0655092592592594,556,12,100L1000W
16,I,I1000,100,10A100B,10,0,0,1,8990,4.201684027777778,714,8,10A100B
16,I,I1000,100,10A100B,10,0,0,2,8256,3.6058043981481482,567,9,10A100B
16,I,I1000,100,10A100B,10,0,0,3,11490,5.47099537037037,600,6,10A100B
16,I,I1000,100,10A100B,10,0,0,4,7185,3.371423611111111,640,9,10A100B
16,I,I1000,100,10A100B,10,0,0,5,8395,3.6003993055555554,717,8,10A100B
16,I,I1000,100,10A100B,10,0,0,6,9782,5.167679398148148,635,13,10A100B
16,I,I1000,100,10A100B,10,0,0,7,10269,4.8371875,587,9,10A100B
17,I,I1000,100,100A10B,10,0,0,1,7045,3.1883506944444444,565,16,100A10B
17,I,I1000,100,100A10B,10,0,0,2,9010,4.206608796296297,530,11,100A10B
17,I,I1000,100,100A10B,10,0,0,3,6475,3.0591724537037037,520,13,100A10B
17,I,I1000,100,100A10B,10,0,0,4,7090,3.225439814814815,601,12,100A10B
17,I,I1000,100,100A10B,10,0,0,5,6691,3.234207175925926,556,12,100A10B
17,I,I1000,100,100A10B,10,0,0,6,11460,5.257152777777778,561,9,100A10B
17,I,I1000,100,100A10B,10,0,0,7,4378,2.2971412037037036,524,18,100A10B
17,I,I1000,100,100A10B,10,0,0,8,6211,2.8642824074074076,576,16,100A10B
17,I,I1000,100,100A10B,10,0,0,9,7702,3.3657118055555557,555,18,100A10B
17,I,I1000,100,100A10B,10,0,0,0,5931,2.7297453703703702,600,15,100A10B
18,CI,I1000,100,10A10B,1000,0,0,1,10630,4.720630787037037,667,7,C1000
18,CI,I1000,100,10A10B,1000,0,0,2,6795,2.843489583333333,563,19,C1000
18,CI,I1000,100,10A10B,1000,0,0,3,10968,5.110457175925926,693,10,C1000
18,CI,I1000,100,10A10B,1000,0,0,4,8779,4.209195601851852,703,10,C1000
18,CI,I1000,100,10A10B,1000,0,0,5,5120,2.3255439814814816,547,16,C1000
18,CI,I1000,100,10A10B,1000,0,0,6,5145,2.3083796296296297,528,16,C1000
18,CI,I1000,100,10A10B,1000,0,0,7,8615,4.047523148148148,578,14,C1000
18,CI,I1000,100,10A10B,1000,0,0,8,7975,3.533940972222222,648,12,C1000
18,CI,I1000,100,10A10B,1000,0,0,9,6817,3.3339525462962962,585,17,C1000
18,CI,I1000,100,10A10B,1000,0,0,0,7567,3.3159895833333333,642,14,C1000
19,CI,I1000,100,10A10B,100,0,0,1,9992,4.377789351851852,608,9,control
19,CI,I1000,100,10A10B,100,0,0,2,6709,3.2017592592592594,663,14,control
19,CI,I1000,100,10A10B,100,0,0,3,5623,2.672222222222222,477,13,control
19,CI,I1000,100,10A10B,100,0,0,4,7895,3.6630555555555557,740,14,control
19,CI,I1000,100,10A10B,100,0,0,5,8072,3.615104166666667,512,11,control
19,CI,I1000,100,10A10B,100,0,0,6,5238,2.7188078703703704,661,14,control
19,CI,I1000,100,10A10B,100,0,0,7,8980,4.134537037037037,618,14,control
19,CI,I1000,100,10A10B,100,0,0,8,8958,3.873449074074074,697,14,control
19,CI,I1000,100,10A10B,100,0,0,9,11006,4.966394675925926,564,16,control
19,CI,I1000,100,10A10B,100,0,0,0,9641,4.535538194444444,765,14,control
